2025-04-08 21:42:01,863 INFO    MainThread:2955084 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_setup.py:_flush():67] Configure stats pid to 2955084
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_setup.py:_flush():67] Loading settings from /home/tanbo/.config/wandb/settings
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_setup.py:_flush():67] Loading settings from /data/data2/shiman/R1-Omni/src/r1-v/wandb/settings
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /data/data2/shiman/R1-Omni/src/r1-v/wandb/offline-run-20250408_214201-6h0pio98/logs/debug.log
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /data/data2/shiman/R1-Omni/src/r1-v/wandb/offline-run-20250408_214201-6h0pio98/logs/debug-internal.log
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_init.py:init():781] calling init triggers
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-08 21:42:01,864 INFO    MainThread:2955084 [wandb_init.py:init():809] starting backend
2025-04-08 21:42:02,074 INFO    MainThread:2955084 [wandb_init.py:init():813] sending inform_init request
2025-04-08 21:42:02,079 INFO    MainThread:2955084 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-08 21:42:02,079 INFO    MainThread:2955084 [wandb_init.py:init():823] backend started and connected
2025-04-08 21:42:02,082 INFO    MainThread:2955084 [wandb_init.py:init():915] updated telemetry
2025-04-08 21:42:02,088 INFO    MainThread:2955084 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-08 21:42:02,211 INFO    MainThread:2955084 [wandb_init.py:init():1014] starting run threads in backend
2025-04-08 21:42:02,374 INFO    MainThread:2955084 [wandb_run.py:_console_start():2454] atexit reg
2025-04-08 21:42:02,374 INFO    MainThread:2955084 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-08 21:42:02,374 INFO    MainThread:2955084 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-08 21:42:02,374 INFO    MainThread:2955084 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-08 21:42:02,376 INFO    MainThread:2955084 [wandb_init.py:init():1056] run started, returning control to user process
